Name,Description,Category
"Drill, combi","Drill, combi",Power tools
"Drill, SDS","Drill, SDS",Power tools
"Drill, hammer","Drill, hammer",Power tools
"Drill, pillar","Drill, pillar",Power tools
"Drill, press","Drill, press",Power tools
"Drill, table","Drill, table",Power tools
Saw,Saw,Power tools
"Saw, circular","Saw, circular",Power tools
"Saw, mitre","Saw, mitre",Power tools
"Saw, reciprocating","Saw, reciprocating",Power tools
"Saw, jigsaw","Saw, jigsaw",Power tools
"Saw, table","Saw, table",Power tools
"Saw, tile","Saw, tile",Power tools
"Saw, plunge","Saw, plunge",Power tools
"Saw, band","Saw, band",Power tools
"Saw, scroll","Saw, scroll",Power tools
"Saw, chop","Saw, chop",Power tools
Angle grinder,Angle grinder,Power tools
Sander,Sander,Power tools
"Sander, orbit","Sander, orbit",Power tools
"Sander, detail","Sander, detail",Power tools
"Sander, sheet","Sander, sheet",Power tools
"Sander, belt","Sander, belt",Power tools
Lathe,Lathe,Power tools
"Lathe, wood","Lathe, wood",Power tools
"Lathe, axminster","Lathe, axminster",Power tools
Grinder,Grinder,Power tools
"Grinder, bench","Grinder, bench",Power tools
Welder,Welder,Power tools
"Welder, MIG","Welder, MIG",Power tools
"Welder, Arc","Welder, Arc",Power tools
"Welder, TIG","Welder, TIG",Power tools
"Welder, inverter","Welder, inverter",Power tools
"Welder, portable","Welder, portable",Power tools
Planer,Planer,Power tools
"Planer, thickness","Planer, thickness",Power tools
"Planer, table","Planer, table",Power tools
Plasma cutter,Plasma cutter,Power tools
Screwdriver,Screwdriver,Power tools
"Screwdriver, phillips","Screwdriver, phillips",Power tools
"Screwdriver, flat","Screwdriver, flat",Power tools
"Screwdriver, electric","Screwdriver, electric",Power tools
Nail gun,Nail gun,Power tools
"Nail gun, cordless","Nail gun, cordless",Power tools
"Nail gun, brad","Nail gun, brad",Power tools
"Nail gun, air","Nail gun, air",Power tools
"Nail gun, electric","Nail gun, electric",Power tools
"Nail gun, framing","Nail gun, framing",Power tools
"Nail gun, finish","Nail gun, finish",Power tools
Router,Router,Power tools
"Router, plunge","Router, plunge",Power tools
"Router, palm","Router, palm",Power tools
"Router, table","Router, table",Power tools
